appliance_name,power_rating_watts,daily_usage_hours,star_rating,appliance_age_years,household_size,location_type,income_level,season,usage_pattern,daily_consumption_kwh,monthly_bill
Microwave,1025,1.01765123827402,5,1,5,Rural,Low,Winter,Weekday,0.7979657772116159,6176.648051612579
Fan,97,6.829581065616301,4,7,5,Rural,Low,Winter,Weekday,0.6041720593886806,6176.648051612579
Lighting,43,2.405197122969486,1,8,5,Rural,Low,Winter,Weekend,0.11397267086903204,6176.648051612579
Water Heater,2956,5.043291429556798,3,10,5,Rural,Low,Winter,Weekday,15.206128855085291,6176.648051612579
Computer,163,7.7212429431230305,2,4,5,Rural,Low,Winter,Weekend,1.2233228469366404,6176.648051612579
Refrigerator,227,12.538379410526026,5,0,2,Rural,Low,Monsoon,Weekend,2.134659094642056,4479.57717674466
Washing Machine,460,1.228600772316913,5,0,2,Rural,Low,Monsoon,Weekday,0.42386726644933503,4479.57717674466
Air Conditioner,1504,1.4950553870333843,1,5,2,Rural,Low,Monsoon,Weekend,2.3497486506926295,4479.57717674466
Television,124,3.0036098654783805,5,1,2,Rural,Low,Monsoon,Weekday,0.2849224318392792,4479.57717674466
Microwave,957,0.8621965885535221,1,7,2,Rural,Low,Monsoon,Weekend,0.8936072724711155,4479.57717674466
Fan,92,4.5316283639306905,3,8,2,Rural,Low,Monsoon,Weekend,0.4110730721488807,4479.57717674466
Lighting,109,4.313094938964908,2,6,2,Rural,Low,Monsoon,Weekday,0.47388836713395244,4479.57717674466
Water Heater,2977,4.182169216349711,5,8,2,Rural,Low,Monsoon,Weekday,10.831776448653587,4479.57717674466
Computer,115,7.052831401555016,2,9,2,Rural,Low,Monsoon,Weekend,0.8613622990719142,4479.57717674466
Refrigerator,225,9.177624188767078,5,5,1,Urban,Low,Monsoon,Weekday,1.7035964900398892,3215.8623265867036
Washing Machine,503,1.404879784107022,5,0,1,Urban,Low,Monsoon,Weekday,0.529990898554374,3215.8623265867036
Air Conditioner,1458,4.672653497515688,4,10,1,Urban,Low,Monsoon,Weekend,6.540219647402758,3215.8623265867036
Television,76,2.1818653820332616,3,9,1,Urban,Low,Monsoon,Weekend,0.16631923434163146,3215.8623265867036
Microwave,988,1.381674674835648,5,1,1,Urban,Low,Monsoon,Weekday,1.0442973527342796,3215.8623265867036
Fan,45,6.013437630902914,5,7,1,Urban,Low,Monsoon,Weekday,0.2313670128489896,3215.8623265867036
Lighting,34,4.9602803526079855,3,2,1,Urban,Low,Monsoon,Weekday,0.14908618627798562,3215.8623265867036
Water Heater,3027,1.1110206917134782,4,3,1,Urban,Low,Monsoon,Weekday,2.8518745694765606,3215.8623265867036
Computer,109,1.578076410282346,2,9,1,Urban,Low,Monsoon,Weekday,0.1826749691014638,3215.8623265867036
Refrigerator,237,8.924901911092531,5,8,1,Urban,Medium,Monsoon,Weekday,1.8402255250481687,6480.302948247775
Washing Machine,546,1.0421406292037765,4,0,1,Urban,Medium,Monsoon,Weekday,0.4552070268362096,6480.302948247775
Air Conditioner,1502,6.8781743602892504,1,2,1,Urban,Medium,Monsoon,Weekend,10.2070456744846,6480.302948247775
Television,103,2.554558720664256,5,5,1,Urban,Medium,Monsoon,Weekday,0.21707362728844512,6480.302948247775
Microwave,962,0.6306804216091538,2,5,1,Urban,Medium,Monsoon,Weekday,0.600647419932126,6480.302948247775
Fan,115,4.94056643412931,1,2,1,Urban,Medium,Monsoon,Weekend,0.5613471582457721,6480.302948247775
Lighting,69,5.631497187318661,5,1,1,Urban,Medium,Monsoon,Weekday,0.29725857903261554,6480.302948247775
Water Heater,2991,3.9436111126280644,1,2,1,Urban,Medium,Monsoon,Weekend,11.653796747816095,6480.302948247775
Computer,195,7.3989270381873755,5,4,1,Urban,Medium,Monsoon,Weekend,1.1686605256816962,6480.302948247775
Refrigerator,151,11.603343410313263,5,3,3,Urban,Medium,Winter,Weekday,1.3929233596910557,5104.883662140273
Washing Machine,496,1.4660234650670538,3,6,3,Urban,Medium,Winter,Weekday,0.6922445520169423,5104.883662140273
Air Conditioner,1459,3.455252747439281,1,4,3,Urban,Medium,Winter,Weekend,5.172285316235272,5104.883662140273
Television,102,5.048985313468928,2,6,3,Urban,Medium,Winter,Weekend,0.5191164739896214,5104.883662140273
Microwave,970,1.5549886817568168,4,9,3,Urban,Medium,Winter,Weekend,1.4238720361110822,5104.883662140273
Fan,45,1.3983846879450297,4,8,3,Urban,Medium,Winter,Weekend,0.058396544568584445,5104.883662140273
Lighting,42,5.513372402580886,2,0,3,Urban,Medium,Winter,Weekday,0.2084054768175575,5104.883662140273
Water Heater,2960,3.3436018634193125,1,8,3,Urban,Medium,Winter,Weekday,10.906561790324721,5104.883662140273
Computer,165,5.488478986815422,2,5,3,Urban,Medium,Winter,Weekend,0.8965430424962993,5104.883662140273
Refrigerator,201,16.657369665184255,5,10,1,Urban,High,Summer,Weekend,3.0133181724318314,4496.417843328607
Washing Machine,508,1.1846668501428064,4,9,1,Urban,High,Summer,Weekend,0.568109357319683,4496.417843328607
Air Conditioner,1475,2.2142054134314746,3,3,1,Urban,High,Summer,Weekday,2.9426236393150944,4496.417843328607
Television,119,4.033176791773047,5,4,1,Urban,High,Summer,Weekend,0.388757910959004,4496.417843328607
Microwave,997,1.3340036757112854,2,7,1,Urban,High,Summer,Weekday,1.3645817079659397,4496.417843328607
Fan,124,11.087391877209756,1,1,1,Urban,High,Summer,Weekday,1.3322166583980153,4496.417843328607
Lighting,31,4.865799997170579,2,0,1,Urban,High,Summer,Weekday,0.13575581992105915,4496.417843328607
Water Heater,2955,3.236332023667737,4,7,1,Urban,High,Summer,Weekend,8.721785350503607,4496.417843328607
Computer,169,1.4679253253796698,2,10,1,Urban,High,Summer,Weekday,0.2679257303882973,4496.417843328607
Refrigerator,157,10.885526930220275,1,3,6,Rural,Medium,Monsoon,Weekday,1.7209909221408952,7136.8208324960715
Washing Machine,525,1.2076124533838868,1,10,6,Rural,Medium,Monsoon,Weekend,0.7227560533502561,7136.8208324960715
Air Conditioner,1526,3.7869895930376605,1,4,6,Rural,Medium,Monsoon,Weekend,5.9291987180688315,7136.8208324960715
Television,75,7.1828250163153475,1,0,6,Rural,Medium,Monsoon,Weekday,0.5117762824124684,7136.8208324960715
Microwave,1000,1.3962682982541683,3,4,6,Rural,Medium,Monsoon,Weekend,1.2817742977973268,7136.8208324960715
Fan,49,7.232428873180684,2,0,6,Rural,Medium,Monsoon,Weekday,0.31895011330726813,7136.8208324960715
Lighting,25,8.519466593935753,2,7,6,Rural,Medium,Monsoon,Weekend,0.2185243181344521,7136.8208324960715
Water Heater,3001,5.84393833373496,3,10,6,Rural,Medium,Monsoon,Weekend,17.888412118329388,7136.8208324960715
Computer,168,7.095552115530438,4,10,6,Rural,Medium,Monsoon,Weekday,1.1443706451927491,7136.8208324960715
Refrigerator,237,14.552706290490175,3,3,5,Rural,High,Monsoon,Weekend,3.1075412431524003,7651.081335841352
Washing Machine,516,1.8096262633025852,4,10,5,Rural,High,Monsoon,Weekday,0.8964164657895687,7651.081335841352
Air Conditioner,1544,3.4693495358000455,5,7,5,Rural,High,Monsoon,Weekend,4.5799577092003565,7651.081335841352
Television,142,9.41903675122724,4,2,5,Rural,High,Monsoon,Weekend,1.1128026779369913,7651.081335841352
Microwave,1030,2.4436736105343244,4,1,5,Rural,High,Monsoon,Weekend,2.0538587961818893,7651.081335841352
Fan,51,3.4254217581818365,5,8,5,Rural,High,Monsoon,Weekday,0.15198596341052806,7651.081335841352
Lighting,28,7.033978661293374,2,0,5,Rural,High,Monsoon,Weekend,0.17725626226459304,7651.081335841352
Water Heater,2988,6.099845322044393,1,6,5,Rural,High,Monsoon,Weekday,19.392823442893842,7651.081335841352
Computer,149,2.66142709143124,2,7,5,Rural,High,Monsoon,Weekend,0.4068630051754594,7651.081335841352
Refrigerator,247,11.538684125810478,4,0,1,Rural,Medium,Summer,Weekend,2.2800439832601507,5947.58097831913
Washing Machine,536,1.221827338604718,4,5,1,Rural,Medium,Summer,Weekday,0.5763115190730734,5947.58097831913
Air Conditioner,1468,8.465011080532694,1,1,1,Rural,Medium,Summer,Weekend,12.041410541969112,5947.58097831913
Television,143,3.985577197811098,5,0,1,Rural,Medium,Summer,Weekday,0.42745315446524024,5947.58097831913
Microwave,1026,0.9590536810590714,4,8,1,Rural,Medium,Summer,Weekday,0.9131418632394116,5947.58097831913
Fan,106,12.766247360568325,3,2,1,Rural,Medium,Summer,Weekday,1.1962484426746942,5947.58097831913
Lighting,87,2.7225427348474134,3,0,1,Rural,Medium,Summer,Weekday,0.20133203524196622,5947.58097831913
Water Heater,2951,2.322466141462335,3,8,1,Rural,Medium,Summer,Weekend,6.7576472172869755,5947.58097831913
Computer,189,2.56612865378581,4,0,1,Rural,Medium,Summer,Weekday,0.3879986524524145,5947.58097831913
Refrigerator,192,11.89050888607531,4,2,5,Rural,High,Summer,Weekday,1.8994374514972143,10151.118079026432
Washing Machine,505,1.6350908930814188,3,9,5,Rural,High,Summer,Weekday,0.8281980637091348,10151.118079026432
Air Conditioner,1510,12.932618001619375,5,2,5,Rural,High,Summer,Weekend,15.2320374823073,10151.118079026432
Television,90,6.067716166789185,2,9,5,Rural,High,Summer,Weekend,0.5799523112217102,10151.118079026432
Microwave,1043,0.3142763546464713,5,3,5,Rural,High,Summer,Weekday,0.2605932391275343,10151.118079026432
Fan,121,2.5962391001046945,5,4,5,Rural,High,Summer,Weekday,0.25445739420126107,10151.118079026432
Lighting,40,6.431267015855811,1,4,5,Rural,High,Summer,Weekend,0.2639391983307225,10151.118079026432
Water Heater,3032,7.31430581551665,3,10,5,Rural,High,Summer,Weekday,22.620514737299413,10151.118079026432
Computer,134,2.8509494100288073,3,5,5,Rural,High,Summer,Weekday,0.3571954515825093,10151.118079026432
Refrigerator,210,11.34585492453062,3,10,1,Rural,High,Monsoon,Weekday,2.430282124834459,6846.680434787918
Washing Machine,509,1.6415994988672225,3,4,1,Rural,High,Monsoon,Weekend,0.7670570650396961,6846.680434787918
Air Conditioner,1499,1.6869187016680696,1,5,1,Rural,High,Monsoon,Weekday,2.6424822348214563,6846.680434787918
Television,120,7.3465179292339835,1,3,1,Rural,High,Monsoon,Weekend,0.8877532265686345,6846.680434787918
Microwave,1027,1.1081323197091764,4,8,1,Rural,High,Monsoon,Weekday,1.0561121560927487,6846.680434787918
Fan,105,7.865366267272781,5,1,1,Rural,High,Monsoon,Weekend,0.631785545418686,6846.680434787918
Lighting,48,6.931594622167373,3,0,1,Rural,High,Monsoon,Weekend,0.28280906058442884,6846.680434787918
Water Heater,3028,6.266553413037166,2,4,1,Rural,High,Monsoon,Weekend,18.4438202701056,6846.680434787918
Computer,199,7.63539992442449,4,7,1,Rural,High,Monsoon,Weekend,1.3857334614839523,6846.680434787918
Refrigerator,173,17.490390975510287,4,1,4,Urban,High,Winter,Weekend,2.4690835132308364,10679.88428097196
Washing Machine,540,0.35970114350385135,4,7,4,Urban,High,Winter,Weekend,0.17714561915277674,10679.88428097196
Air Conditioner,1494,7.1165219043528625,5,5,4,Urban,High,Winter,Weekday,8.771469073210122,10679.88428097196
Television,55,2.8502912741714823,2,1,4,Urban,High,Winter,Weekend,0.14391120643291813,10679.88428097196
Microwave,1036,2.0743955178166598,3,7,4,Urban,High,Winter,Weekend,2.08245247000786,10679.88428097196
Fan,95,4.8656942547421815,3,5,4,Urban,High,Winter,Weekend,0.4321952921774743,10679.88428097196
Lighting,95,4.928952450439454,2,10,4,Urban,High,Winter,Weekday,0.505710521415088,10679.88428097196
Water Heater,2999,8.9641363578495,2,10,4,Urban,High,Winter,Weekday,29.0341205321659,10679.88428097196
Computer,175,5.710598639884884,3,2,4,Urban,High,Winter,Weekend,0.8834296095901916,10679.88428097196
Refrigerator,177,11.391193770463966,3,2,2,Urban,Low,Summer,Weekday,1.7823573068769558,12315.814585072427
Washing Machine,531,0.23584220276494564,3,1,2,Urban,Low,Summer,Weekday,0.10857632578231736,12315.814585072427
Air Conditioner,1450,18.50191395364923,1,4,2,Urban,Low,Summer,Weekend,27.525297388843956,12315.814585072427
Television,126,8.854766433621188,2,6,2,Urban,Low,Summer,Weekend,1.12462617520136,12315.814585072427
Microwave,981,0.8508574199973968,5,3,2,Urban,Low,Summer,Weekday,0.6635794475688698,12315.814585072427
Fan,124,3.169270406148873,5,6,2,Urban,Low,Summer,Weekday,0.3301112055044666,12315.814585072427
Lighting,86,1.8856527661247304,4,3,2,Urban,Low,Summer,Weekend,0.13751688492794434,12315.814585072427
Water Heater,3023,8.196227897139073,5,0,2,Urban,Low,Summer,Weekend,18.582897699788564,12315.814585072427
Computer,153,7.879765819771355,4,5,2,Urban,Low,Summer,Weekend,1.0609316699740154,12315.814585072427
Refrigerator,221,16.553527464087804,1,4,1,Rural,Medium,Summer,Weekend,3.753446138372053,8760.89224885714
Washing Machine,495,0.22496419580083984,2,4,1,Rural,Medium,Summer,Weekday,0.1082392731676161,8760.89224885714
Air Conditioner,1528,6.769041734810074,4,4,1,Rural,Medium,Summer,Weekday,8.936434745962382,8760.89224885714
Television,89,5.089543649554667,1,1,1,Rural,Medium,Summer,Weekend,0.438927333881244,8760.89224885714
Microwave,1016,0.8007622347083073,2,6,1,Rural,Medium,Summer,Weekday,0.8200830259073494,8760.89224885714
Fan,53,8.926034692909372,3,7,1,Rural,Medium,Summer,Weekday,0.45841436372374667,8760.89224885714
